iter	Passed	Remaining
315	20585	44558
316	20652	44497
317	20711	44419
318	20771	44341
319	20833	44270
320	20890	44187
321	20951	44114
322	21003	44023
323	21070	43962
324	21132	43889
325	21203	43837
326	21264	43765
327	21331	43704
328	21380	43605
329	21449	43549
330	21516	43488
331	21583	43426
332	21637	43339
333	21700	43271
334	21760	43195
335	21828	43138
336	21891	43069
337	21952	42996
338	22009	42916
339	22075	42852
340	22133	42774
341	22190	42694
342	22250	42619
343	22313	42551
344	22371	42473
345	22435	42406
346	22495	42333
347	22568	42283
348	22643	42238
349	22697	42153
350	22749	42064
351	22813	41998
352	22874	41925
353	22941	41864
354	22993	41777
355	23049	41695
356	23120	41643
357	23190	41587
358	23262	41534
359	23315	41449
360	23397	41415
361	23472	41368
362	23521	41276
363	23579	41199
364	23646	41138
365	23699	41053
366	23769	40997
367	23833	40930
368	23892	40857
369	23958	40793
370	24020	40724
371	24085	40660
372	24141	40581
373	24207	40518
374	24276	40460
375	24339	40392
376	24405	40330
377	24470	40266
378	24538	40206
379	24603	40142
380	24671	40083
381	24739	40023
382	24799	39951
383	24863	39885
384	24919	39807
385	24982	39738
386	25038	39660
387	25106	39601
388	25166	39529
389	25226	39457
390	25287	39386
391	25352	39321
392	25414	39252
393	25466	39169
394	25538	39116
395	25590	39031
396	25656	38969
397	25715	38895
398	25781	38833
399	25840	38760
400	25908	38701
401	25978	38645
402	26036	38569
403	26098	38501
404	26164	38438
405	26224	38367
406	26287	38301
407	26343	38223
408	26409	38160
409	26461	38078
410	26526	38014
411	26586	37943
412	26654	37884
413	26703	37798
414	26770	37737
415	26829	37664
416	26887	37590
417	26948	37521
418	27013	37457
419	27067	37378
420	27132	37315
421	27198	37253
422	27260	37184
423	27327	37124
424	27393	37062
425	27455	36994
426	27520	36930
427	27582	36862
428	27644	36794
429	27708	36729
430	27769	36660
431	27830	36592
432	27893	36525
433	27951	36452
434	28015	36387
435	28072	36314
436	28137	36250
437	28189	36170
438	28246	36096
439	28300	36019
440	28367	35958
441	28422	35881
442	28487	35818
443	28554	35757
444	28618	35692
445	28672	35615
446	28741	35556
447	28795	35479
448	28857	35413
449	28932	35361
450	28994	35295
451	29051	35221
452	29133	35179
453	29209	35128
454	29274	35065
455	29346	35009
456	29413	34948
457	29465	34869
458	29525	34799
459	29591	34738
460	29648	34664
461	29699	34585
462	29768	34525
463	29834	34464
464	29901	34402
465	29983	34359
466	30076	34327
467	30174	34300
468	30294	34299
469	30401	34282
470	30499	34254
471	30598	34229
472	30703	34209
473	30817	34197
474	30912	34166
475	31012	34139
476	31110	34110
477	31359	34245
478	31513	34276
479	31666	34304
480	31776	34287
481	31892	34274
482	32026	34280
483	32123	34247
484	32208	34201
485	32300	34161
486	32378	34107
487	32457	34053
488	32540	34004
489	32628	33959
490	32721	33921
491	32850	33919
492	32957	33893
493	33106	33910
494	33208	33879
495	33291	33828
496	33374	33777
497	33448	33717
498	33538	33672
499	33599	33599
500	33703	33569
501	33835	33565
502	33936	33532
503	34030	33490
504	34093	33418
505	34154	33344
506	34222	33277
507	34292	33212
508	34362	33147
509	34431	33080
510	34499	33013
511	34567	32947
512	34631	32876
513	34691	32801
514	34770	32744
515	34848	32687
516	34936	32639
517	35005	32572
518	35064	32496
519	35129	32427
520	35201	32363
521	35279	32305
522	35353	32243
523	35462	32214
524	35582	32193
525	35659	32134
526	35789	32121
527	35875	32070
528	35947	32005
529	36021	31943
530	36116	31899
531	36183	31830
532	36239	31751
533	36305	31682
534	36358	31601
535	36424	31531
536	36495	31465
537	36564	31399
538	36627	31327
539	36687	31252
540	36741	31172
541	36804	31100
542	36860	31022
543	36933	30958
544	36991	30883
545	37059	30814
546	37130	30749
547	37191	30676
548	37252	30602
549	37305	30522
550	37368	30450
551	37437	30383
552	37498	30311
553	37563	30240
554	37614	30159
555	37675	30086
556	37735	30012
557	37802	29944
558	37855	29864
559	37919	29793
560	37984	29724
561	38040	29647
562	38092	29567
563	38147	29490
564	38214	29421
565	38282	29354
566	38351	29287
567	38410	29213
568	38468	29138
569	38533	29068
570	38593	28995
571	38644	28915
572	38708	28845
573	38779	28780
574	38845	28712
575	38906	28639
576	38975	28573
577	39042	28505
578	39129	28451
579	39202	28388
580	39263	28315
581	39323	28242
582	39386	28171
583	39442	28096
584	39509	28028
585	39565	27952
586	39627	27881
587	39696	27814
588	39746	27735
589	39811	27665
590	39880	27599
591	39940	27526
592	40003	27455
593	40051	27375
594	40124	27311
595	40194	27245
596	40244	27166
597	40304	27094
598	40352	27013
599	40410	26940
600	40469	26867
601	40524	26792
602	40590	26724
603	40655	26654
604	40715	26583
605	40787	26518
606	40856	26452
607	40917	26381
608	40987	26315
609	41045	26242
610	41107	26171
611	41160	26095
612	41223	26025
613	41296	25961
614	41384	25907
615	41460	25845
616	41560	25798
617	41640	25738
618	41748	25696
619	41831	25638
620	41897	25570
621	41965	25503
622	42047	25444
623	42135	25389
624	42220	25332
625	42322	25285
626	42404	25226
627	42505	25178
628	42603	25128
629	42710	25083
630	42791	25023
631	42907	24983
632	43011	24937
633	43126	24896
634	43239	24854
635	43316	24791
636	43408	24736
637	43479	24670
638	43563	24611
639	43642	24548
640	43707	24478
641	43776	24411
642	43843	24342
643	43909	24272
644	44019	24227
645	44104	24168
646	44192	24111
647	44281	24054
648	44354	23988
649	44423	23920
650	44488	23850
651	44554	23780
652	44619	23710
653	44680	23638
654	44744	23567
655	44826	23506
656	44887	23434
657	44955	23365
658	45016	23293
659	45075	23220
660	45153	23157
661	45222	23089
662	45289	23020
663	45353	22949
664	45417	22879
665	45482	22809
666	45544	22738
667	45611	22669
668	45689	22605
669	45799	22557
670	45953	22531
671	46060	22481
672	46124	22411
673	46183	22338
674	46243	22265
675	46296	22189
676	46370	22123
677	46439	22055
678	46504	21985
679	46570	21915
680	46634	21844
681	46698	21774
682	46761	21703
683	46823	21631
684	46892	21563
685	46957	21493
686	47017	21421
687	47073	21347
688	47143	21279
689	47211	21210
690	47271	21138
691	47326	21064
692	47382	20990
693	47447	20920
694	47509	20849
695	47578	20781
696	47645	20712
697	47702	20639
698	47765	20568
699	47828	20497
700	47900	20431
701	47963	20360
702	48056	20302
703	48144	20242
704	48207	20171
705	48271	20101
706	48321	20025
707	48375	19951
708	48423	19874
709	48484	19803
710	48537	19728
711	48602	19659
712	48662	19588
713	48725	19517
714	48785	19446
715	48844	19374
716	48905	19302
717	48973	19234
718	49057	19172
719	49120	19102
720	49178	19030
721	49231	18956
722	49286	18882
723	49344	18811
724	49408	18741
725	49468	18670
726	49532	18600
727	49599	18531
728	49670	18464
729	49733	18394
730	49792	18323
731	49860	18254
732	49912	18180
733	49980	18112
734	50047	18044
735	50113	17975
736	50181	17907
737	50243	17836
738	50295	17763
739	50360	17694
740	50419	17622
741	50481	17552
742	50535	17480
743	50591	17407
744	50645	17335
745	50709	17265
746	50762	17192
747	50834	17126
748	50888	17053
749	50949	16983
750	51006	16911
751	51067	16841
752	51130	16772
753	51188	16700
754	51253	16631
755	51308	16559
756	51369	16489
757	51434	16420
758	51490	16349
759	51560	16282
760	51633	16216
761	51696	16146
762	51754	16075
763	51812	16004
764	51871	15934
765	51934	15865
766	51989	15793
767	52049	15723
768	52118	15655
769	52173	15584
770	52229	15513
771	52288	15442
772	52343	15371
773	52407	15302
774	52469	15233
775	52533	15164
776	52592	15094
777	52654	15024
778	52704	14952
779	52764	14882
780	52824	14812
781	52886	14743
782	52947	14673
783	53013	14605
784	53067	14534
785	53132	14466
786	53184	14394
787	53242	14324
788	53305	14255
789	53366	14185
790	53433	14118
791	53487	14047
792	53544	13976
793	53604	13907
794	53668	13838
795	53728	13769
796	53798	13702
797	53863	13634
798	53926	13565
799	53985	13496
800	54045	13426
801	54106	13358
802	54159	13287
803	54222	13218
804	54280	13148
805	54337	13078
806	54400	13010
807	54465	12942
808	54519	12871
809	54571	12800
810	54622	12729
811	54690	12662
812	54745	12592
813	54810	12524
814	54866	12454
815	54928	12385
816	54983	12315
817	55078	12254
818	55201	12199
819	55333	12146
820	55387	12075
821	55445	12006
822	55501	11936
823	55562	11867
824	55620	11798
825	55682	11729
826	55744	11661
827	55818	11595
828	55882	11526
829	55933	11456
830	55990	11386
831	56043	11316
832	56107	11248
833	56170	11180
834	56236	11112
835	56298	11044
836	56372	10978
837	56443	10911
838	56506	10843
839	56566	10774
840	56634	10707
841	56696	10638
842	56756	10570
843	56825	10503
844	56879	10433
845	56944	10365
846	57017	10299
847	57075	10230
848	57139	10162
849	57203	10094
850	57269	10027
851	57332	9959
852	57390	9890
853	57452	9822
854	57521	9755
855	57582	9686
856	57644	9618
857	57710	9551
858	57767	9482
859	57825	9413
860	57883	9344
861	57948	9277
862	57999	9207
863	58062	9139
864	58115	9070
865	58175	9001
866	58235	8933
867	58292	8864
868	58355	8796
869	58419	8729
870	58476	8660
871	58539	8592
872	58610	8526
873	58671	8458
874	58733	8390
875	58797	8322
876	58859	8255
877	58935	8189
878	59017	8124
879	59084	8056
880	59141	7988
881	59209	7921
882	59272	7853
883	59333	7785
884	59443	7724
885	59599	7668
886	59692	7604
887	59754	7536
888	59813	7468
889	59869	7399
890	59932	7331
891	59996	7264
892	60060	7196
893	60118	7128
894	60184	7060
895	60255	6993
896	60315	6925
897	60374	6857
898	60424	6788
899	60494	6721
900	60554	6653
901	60621	6586
902	60692	6519
903	60750	6451
904	60812	6383
905	60877	6316
906	60947	6249
907	61002	6180
908	61067	6113
909	61137	6046
910	61199	5978
911	61262	5911
912	61328	5843
913	61400	5777
914	61463	5709
915	61521	5641
916	61587	5574
917	61652	5507
918	61716	5439
919	61779	5372
920	61840	5304
921	61905	5237
922	61971	5169
923	62022	5101
924	62085	5033
925	62154	4966
926	62213	4899
927	62276	4831
928	62335	4764
929	62395	4696
930	62454	4628
931	62518	4561
932	62585	4494
933	62640	4426
934	62698	4358
935	62756	4291
936	62818	4223
937	62880	4156
938	62943	4088
939	63007	4021
940	63070	3954
941	63134	3887
942	63207	3820
943	63274	3753
944	63331	3685
945	63400	3619
946	63459	3551
947	63520	3484
948	63589	3417
949	63644	3349
950	63703	3282
951	63771	3215
952	63835	3148
953	63895	3080
954	63953	3013
955	64008	2945
956	64063	2878
957	64121	2811
958	64180	2743
959	64250	2677
960	64311	2609
961	64430	2545
962	64582	2481
963	64647	2414
964	64699	2346
965	64766	2279
966	64826	2212
967	64894	2145
968	64953	2077
969	65014	2010
970	65071	1943
971	65134	1876
972	65192	1809
973	65259	1742
974	65315	1674
975	65374	1607
976	65434	1540
977	65488	1473
978	65553	1406
979	65605	1338
980	65666	1271
981	65724	1204
982	65780	1137
983	65842	1070
984	65911	1003
985	65970	936
986	66027	869
987	66077	802
988	66148	735
989	66210	668
990	66268	601
991	66333	534
992	66388	467
993	66453	401
994	66505	334
995	66561	267
996	66622	200
997	66689	133
998	66745	66
999	66812	0
