iter	RMSE
249	3.531680089
250	3.530736716
251	3.529638457
252	3.528899969
253	3.528133637
254	3.527406462
255	3.526496247
256	3.526067446
257	3.525615019
258	3.524840345
259	3.524198943
260	3.523628957
261	3.523109022
262	3.522453394
263	3.521625569
264	3.520916652
265	3.520190914
266	3.519839114
267	3.519171593
268	3.518643532
269	3.517776936
270	3.517052854
271	3.516163134
272	3.515669563
273	3.514992277
274	3.51416107
275	3.513652273
276	3.513069669
277	3.512445076
278	3.512109045
279	3.511739627
280	3.510804828
281	3.510108224
282	3.50975912
283	3.509243247
284	3.508777255
285	3.508216128
286	3.50781702
287	3.507506671
288	3.507073023
289	3.506441422
290	3.50563348
291	3.504923171
292	3.504126846
293	3.503650055
294	3.503226397
295	3.502822774
296	3.501900212
297	3.50126934
298	3.50073106
299	3.500468484
300	3.499938604
301	3.499410958
302	3.498951298
303	3.498416257
304	3.497726139
305	3.497272518
306	3.496477724
307	3.495859223
308	3.495274806
309	3.494393414
310	3.493690687
311	3.493364308
312	3.492839256
313	3.492518768
314	3.492095529
315	3.491775314
316	3.491353679
317	3.490856556
318	3.490464903
319	3.49012256
320	3.489792385
321	3.489453366
322	3.48907304
323	3.488689631
324	3.488235515
325	3.487735185
326	3.487172439
327	3.486734443
328	3.486432347
329	3.486034146
330	3.485413531
331	3.484909709
332	3.484736107
333	3.484231471
334	3.483920178
335	3.48312744
336	3.482257721
337	3.4817734
338	3.48106223
339	3.480553574
340	3.480306283
341	3.479912773
342	3.47946414
343	3.479037688
344	3.478355724
345	3.477898732
346	3.47758015
347	3.477071058
348	3.476678574
349	3.476350152
350	3.476085894
351	3.475544544
352	3.475049405
353	3.474533097
354	3.474124676
355	3.473839655
356	3.473457744
357	3.47312347
358	3.472585696
359	3.472301924
360	3.471681094
361	3.471433825
362	3.471166201
363	3.470918106
364	3.470506527
365	3.470225166
366	3.469788123
367	3.469451866
368	3.469199537
369	3.468912458
370	3.468367289
371	3.468051556
372	3.467655025
373	3.46743893
374	3.466927443
375	3.466468774
376	3.466016273
377	3.465740507
378	3.465122286
379	3.464363695
380	3.464063163
381	3.463694255
382	3.463317831
383	3.462823499
384	3.462468646
385	3.462148337
386	3.461796622
387	3.461239006
388	3.46080238
389	3.460363015
390	3.459868756
391	3.459531645
392	3.459219154
393	3.458944762
394	3.458744932
395	3.458444589
396	3.458040813
397	3.457596274
398	3.457365414
399	3.457011697
400	3.456739594
401	3.456229071
402	3.455863361
403	3.455481531
404	3.455140557
405	3.454560072
406	3.454327813
407	3.454079993
408	3.453618744
409	3.453317606
410	3.452937788
411	3.452648433
412	3.452386791
413	3.452186836
414	3.451795912
415	3.45161369
416	3.451394087
417	3.45097265
418	3.450604941
419	3.450365351
420	3.450125758
421	3.449663425
422	3.449437179
423	3.449287959
424	3.448828465
425	3.448545185
426	3.448092661
427	3.447752774
428	3.447467053
429	3.447091301
430	3.446887527
431	3.446557223
432	3.446298783
433	3.446114779
434	3.445720423
435	3.445332096
436	3.444906181
437	3.444698332
438	3.444454082
439	3.444287786
440	3.444196224
441	3.443859874
442	3.443645263
443	3.44338526
444	3.443158433
445	3.442851962
446	3.442491761
447	3.442189382
448	3.441808421
449	3.441529185
450	3.441369818
451	3.441064306
452	3.44068975
453	3.44033811
454	3.440056584
455	3.439668645
456	3.439399603
457	3.439229719
458	3.438946477
459	3.438822696
460	3.438714984
461	3.438494794
462	3.438075655
463	3.437752714
464	3.437543253
465	3.437139305
466	3.436824718
467	3.436530152
468	3.436183007
469	3.435873781
470	3.435611646
471	3.435367822
472	3.435103939
473	3.434797838
474	3.434662403
475	3.434510508
476	3.434245911
477	3.43397559
478	3.433334114
479	3.432857378
480	3.432739602
481	3.432415051
482	3.4320593
483	3.431807326
484	3.43154321
485	3.431265363
486	3.430900651
487	3.430723149
488	3.430493442
489	3.430321056
490	3.430033198
491	3.429830721
492	3.429624327
493	3.42934653
494	3.428935985
495	3.4285985
496	3.428393033
497	3.42822029
498	3.427924343
499	3.427685974
500	3.427343266
501	3.427164428
502	3.426835162
503	3.426519574
504	3.426259611
505	3.425987505
506	3.425776292
507	3.425381036
508	3.425117371
509	3.424849564
510	3.424619283
511	3.424463413
512	3.42421014
513	3.424032401
514	3.423679856
515	3.423482759
516	3.423357368
517	3.423077087
518	3.422897203
519	3.422647386
520	3.422280787
521	3.421987854
522	3.421793399
523	3.421671753
524	3.421328804
525	3.421072253
526	3.420801592
527	3.420499509
528	3.420165336
529	3.41981009
530	3.419619648
531	3.41946572
532	3.419274351
533	3.418952875
534	3.418688172
535	3.418380534
536	3.41796652
537	3.417745885
538	3.417588424
539	3.417441358
540	3.417337571
541	3.417121483
542	3.416982584
543	3.416598331
544	3.416219387
545	3.41596875
546	3.415668794
547	3.415461347
548	3.415140002
549	3.414982957
550	3.414718472
551	3.414480966
552	3.414255158
553	3.414077914
554	3.413950945
555	3.413775246
556	3.413574598
557	3.413357578
558	3.413209072
559	3.413007115
560	3.412769272
561	3.412745951
562	3.412725837
563	3.412498904
564	3.412153068
565	3.411848912
566	3.411552749
567	3.411332805
568	3.411086716
569	3.410908989
570	3.410681949
571	3.410624715
572	3.410390052
573	3.410128076
574	3.409926551
575	3.409720568
576	3.409423085
577	3.40926278
578	3.409093878
579	3.408844882
580	3.408554037
581	3.408283982
582	3.408117948
583	3.407979629
584	3.407799843
585	3.407752398
586	3.407708547
587	3.407549001
588	3.407423825
589	3.407252572
590	3.407065213
591	3.406861936
592	3.40666848
593	3.406513362
594	3.406151846
595	3.405895385
596	3.405847888
597	3.405686081
598	3.40565594
599	3.405535248
600	3.405212773
601	3.40513303
602	3.404948459
603	3.404773639
604	3.404564293
605	3.404320742
606	3.403953543
607	3.403785868
608	3.40350925
609	3.403352897
610	3.403260764
611	3.403139911
612	3.402932792
613	3.402623157
614	3.402406247
615	3.402206245
616	3.401988033
617	3.401846412
618	3.401609014
619	3.401475255
620	3.401310196
621	3.401198484
622	3.401014781
623	3.400807637
624	3.400589176
625	3.400368682
626	3.400245903
627	3.400046992
628	3.399876598
629	3.399689639
630	3.399581696
631	3.399307824
632	3.399160398
633	3.399014275
634	3.398787696
635	3.398611961
636	3.398452999
637	3.398434046
638	3.398218165
639	3.397983716
640	3.397737831
641	3.397402554
642	3.397189862
643	3.397040276
644	3.396805717
645	3.396621759
646	3.39633878
647	3.396129626
648	3.395990297
649	3.395859117
650	3.395596738
651	3.395464923
652	3.395242678
653	3.395128703
654	3.394987589
655	3.394734259
656	3.394594735
657	3.394325083
658	3.394100045
659	3.393965705
660	3.393768171
661	3.393645021
662	3.393323319
663	3.393131111
664	3.392925003
665	3.392754839
666	3.392612537
667	3.392440552
668	3.392272634
669	3.392186703
670	3.392087294
671	3.391998131
672	3.3917655
673	3.391621414
674	3.391502526
675	3.391339329
676	3.391162335
677	3.391009003
678	3.390778673
679	3.390558413
680	3.390321456
681	3.390027624
682	3.3898489
683	3.389643496
684	3.389364205
685	3.389212548
686	3.388980233
687	3.388659017
688	3.388545163
689	3.388367241
690	3.388223055
691	3.388126127
692	3.387893073
693	3.387662687
694	3.387542027
695	3.387408137
696	3.387143263
697	3.387026184
698	3.386863056
699	3.386748661
700	3.386415345
701	3.38620165
702	3.386025063
703	3.385865494
704	3.385651226
705	3.38540098
706	3.385356567
707	3.385235742
708	3.385185859
709	3.385112541
710	3.385002089
711	3.384797134
712	3.384641932
713	3.384486928
714	3.384280833
715	3.3840271
716	3.383806248
717	3.383661147
718	3.383464452
719	3.383367779
720	3.383132933
721	3.38304726
722	3.382926202
723	3.382792328
724	3.38256269
725	3.382389292
726	3.382248101
727	3.382035305
728	3.381870138
729	3.381746953
730	3.381627515
731	3.381525995
732	3.381405631
733	3.381178782
734	3.381070837
735	3.381038989
736	3.380893302
737	3.380758268
738	3.380508685
739	3.380306498
740	3.380060938
741	3.379879602
742	3.379750067
743	3.379638455
744	3.379403979
745	3.379285102
746	3.379141354
747	3.379004534
748	3.378790405
749	3.378599477
750	3.378447119
751	3.378286333
752	3.378110316
753	3.377943292
754	3.377542082
755	3.37748998
756	3.377361482
757	3.377239887
758	3.37717757
759	3.376907939
760	3.376732917
761	3.376571953
762	3.376362427
763	3.37623191
764	3.376043858
765	3.375856977
766	3.375642033
767	3.3755153
768	3.375230917
769	3.375127965
770	3.375015508
771	3.374851735
772	3.374702974
773	3.374522915
774	3.374418038
775	3.374304318
776	3.374217148
777	3.374025079
778	3.373977345
779	3.373818031
780	3.37358554
781	3.373250268
782	3.373047119
783	3.372932157
784	3.372882907
785	3.37273332
786	3.372635608
787	3.372512882
788	3.372348608
789	3.372229995
790	3.371989535
791	3.371891685
792	3.371718412
793	3.37157774
794	3.371448824
795	3.371330796
796	3.3711126
797	3.370889463
798	3.370713262
799	3.370562653
800	3.370429532
801	3.370203531
802	3.370097805
803	3.369928831
804	3.369695738
805	3.369577127
806	3.369403298
807	3.369149426
808	3.368987234
809	3.368954123
810	3.368884958
811	3.368784872
812	3.368693469
813	3.36846881
814	3.368354943
815	3.368198752
816	3.368031116
817	3.367940428
818	3.367752223
819	3.367633815
820	3.367491001
821	3.367344996
822	3.367265271
823	3.367071556
824	3.366938334
825	3.366656887
826	3.366502703
827	3.366446982
828	3.366343276
829	3.366193136
830	3.366069252
831	3.366009156
832	3.365818524
833	3.365684619
834	3.365475462
835	3.365325621
836	3.365148854
837	3.365001636
838	3.36482417
839	3.364686779
840	3.364434015
841	3.36423805
842	3.364061613
843	3.363892824
844	3.3638309
845	3.363640561
846	3.36345744
847	3.363328018
848	3.36315916
849	3.362952897
850	3.362794314
851	3.362604102
852	3.362428235
853	3.362260089
854	3.362109234
855	3.361862947
856	3.361660529
857	3.361412881
858	3.361235147
859	3.36106688
860	3.360915889
861	3.360762182
862	3.360632696
863	3.360514313
864	3.360369505
865	3.360264514
866	3.360120281
867	3.359995918
868	3.359852644
869	3.359742043
870	3.3595675
871	3.359378832
872	3.359154727
873	3.359067071
874	3.358925896
875	3.358734303
876	3.358615962
877	3.358460078
878	3.358235526
879	3.357994046
880	3.357754967
881	3.357518054
882	3.35729831
883	3.357104825
884	3.356948128
885	3.356814071
886	3.356664423
887	3.356515748
888	3.35636824
889	3.356302782
890	3.356196154
891	3.356053694
892	3.355918243
893	3.355820219
894	3.355658897
895	3.35541886
896	3.355285397
897	3.355215144
898	3.355128121
899	3.354982475
900	3.354855161
901	3.35466447
902	3.354462046
903	3.354235054
904	3.354128044
905	3.353898614
906	3.353727607
907	3.353423047
908	3.353268505
909	3.353103918
910	3.352904146
911	3.352656578
912	3.35254347
913	3.352395339
914	3.35205837
915	3.351933044
916	3.35180262
917	3.351694756
918	3.351618295
919	3.351480503
920	3.351350814
921	3.351219716
922	3.351110321
923	3.351064107
924	3.351001144
925	3.350816619
926	3.350711518
927	3.350520798
928	3.350368333
929	3.350189544
930	3.350134802
931	3.349978066
932	3.349864355
933	3.349703145
934	3.349600818
935	3.3495084
936	3.349348943
937	3.349278526
938	3.349151455
939	3.349005451
940	3.348880763
941	3.348751432
942	3.348578306
943	3.348491573
944	3.348393192
945	3.348199419
946	3.348034419
947	3.347865766
948	3.347619985
949	3.347524993
950	3.347445221
951	3.347297766
952	3.347125501
953	3.347044927
954	3.346809774
955	3.346642222
956	3.346500411
957	3.346375751
958	3.346216463
959	3.346147733
960	3.34607737
961	3.345911622
962	3.34577749
963	3.34567103
964	3.345622171
965	3.345480798
966	3.345378294
967	3.34531601
968	3.345154179
969	3.345072895
970	3.345005299
971	3.344895373
972	3.344810714
973	3.34461713
974	3.344366235
975	3.344267666
976	3.344083925
977	3.344056554
978	3.343930997
979	3.343843083
980	3.343710562
981	3.343524262
982	3.343436443
983	3.343340312
984	3.343219787
985	3.343145246
986	3.343046887
987	3.342954066
988	3.342863786
989	3.342776437
990	3.342675982
991	3.342534132
992	3.342479013
993	3.342304385
994	3.342257504
995	3.342130121
996	3.342021938
997	3.341919752
998	3.341801171
999	3.341641964
